Orig,Dest,Flt,Aircraft,Final,Final LS,Doors,Total PAX,Sched,Doors,Out,Doors,Out,Delay,Delay Code & Remarks
"",,,Reg,PrePlan,Print,Closed,Onboard,Dep,Closed,Gate,Closed,Gate,Group,
"",,,Number,Timestamp,Timestamp,Local,,CST,CST,CST,Delay,Delay,Code,
"",,,,Local,Local,,,,,,,,,
ABQ,DAL,100,N8526W,4:41 AM,5:48 AM,5:50 AM,173,6:50 AM,6:50 AM,6:51 AM,0,1,,
ALB,MDW,684,N8318F,2:23 AM,3:37 AM,3:38 AM,168,4:20 AM,4:38 AM,4:39 AM,18,19,CM02,Ridiculouly long boarding..168 pax
"",,,,,,,,,,,,,,"w/ 6 wchrs, aisle chair/lift, any"
"",,,,,,,,,,,,,,more preboard pax on..jetway
"",,,,,,,,,,,,,,backed up to top from end of  A
"",,,,,,,,,,,,,,"grp to the end, often at a"
"",,,,,,,,,,,,,,standstill..pax still in aisle looking
"",,,,,,,,,,,,,,for seats and stowing bags..FS
"",,,,,,,,,,,,,,0450..LS 0516
ATL,PHX,1600,N8698B,3:40 AM,4:24 AM,4:26 AM,173,5:20 AM,5:26 AM,5:26 AM,6,6,CM02,13 wchr 5 of  which came during
"",,,,,,,,,,,,,,middle of  boarding. jet bridge still
"",,,,,,,,,,,,,,backed up at time of  push waited
"",,,,,,,,,,,,,,"for stby to be cleared, checked 6"
"",,,,,,,,,,,,,,addtl bags fs 0550 ls 0617 pwb
"",,,,,,,,,,,,,,0624
ATL,DEN,1395,N8685B,3:43 AM,4:09 AM,4:14 AM,157,5:15 AM,5:14 AM,5:16 AM,0,1,,
ATL,MCO,185,N7880D,4:22 AM,5:33 AM,5:35 AM,138,6:15 AM,6:35 AM,6:41 AM,20,26,TR08,A FA P HILL LATE FOR FLIGHT
"",,,,,,,,,,,,,,ATA 0708 FS 0708 LS 0726 PWB
"",,,,,,,,,,,,,,0733
ATL,LAS,678,N8327A,3:34 AM,4:26 AM,4:29 AM,174,5:30 AM,5:29 AM,5:31 AM,0,1,,
ATL,RSW,6610,N8302F,4:52 AM,5:52 AM,5:55 AM,130,6:55 AM,6:55 AM,6:56 AM,0,1,,
AUS,ATL,206,N737JW,4:48 AM,5:34 AM,5:43 AM,112,6:35 AM,6:43 AM,6:45 AM,8,10,MX02,"FS 06:05, LS 06:19, PWB sent"
"",,,,,,,,,,,,,,06:34
"",,,,,,,,,,,,,,"MEL added to release,"
"",,,,,,,,,,,,,,MEL# 21-17-03 pax cabin temp
"",,,,,,,,,,,,,,indicator inop.
AUS,DEN,2053,N8744B,4:08 AM,5:07 AM,5:09 AM,113,6:10 AM,6:09 AM,6:11 AM,0,1,,
AUS,MSY,267,N287WN,4:20 AM,5:07 AM,5:08 AM,47,6:15 AM,6:08 AM,6:17 AM,0,2,TR20,doors @ 608.  INOP  headset
BDL,MDW,287,N8581Z,2:44 AM,3:41 AM,3:45 AM,166,4:45 AM,4:45 AM,4:47 AM,0,2,,
BUF,DEN,423,N8515X,3:19 AM,4:00 AM,4:05 AM,172,4:55 AM,5:05 AM,5:06 AM,10,11,TR03,D flt att ontime ...remaining crew
"",,,,,,,,,,,,,,members arr at gate at 0530...got
"",,,,,,,,,,,,,,ok to board from crew at 0536
BWI,DEN,480,N8765Q,3:21 AM,4:24 AM,4:30 AM,174,5:30 AM,5:30 AM,5:32 AM,0,2,,
BWI,SAN,1635,N8731J,3:43 AM,4:42 AM,4:44 AM,170,5:45 AM,5:44 AM,5:52 AM,0,7,TR20,traffic in the alley
Orig,Dest,Flt,Aircraft,Final,Final LS,Doors,Total PAX,Sched,Doors,Out,Doors,Out,Delay,Delay Code & Remarks
"",,,Reg,PrePlan,Print,Closed,Onboard,Dep,Closed,Gate,Closed,Gate,Group,
"",,,Number,Timestamp,Timestamp,Local,,CST,CST,CST,Delay,Delay,Code,
"",,,,Local,Local,,,,,,,,,
BWI,BNA,715,N7748A,3:15 AM,4:17 AM,4:18 AM,139,5:20 AM,5:18 AM,5:21 AM,0,1,,
BWI,LAS,2447,N8752Q,3:27 AM,4:16 AM,4:19 AM,170,5:20 AM,5:19 AM,5:21 AM,0,1,,
BWI,MIA,512,N8660A,3:15 AM,4:14 AM,4:17 AM,140,5:20 AM,5:17 AM,5:21 AM,0,1,TR20,waiting for alley way to clear from
"",,,,,,,,,,,,,,planes that pushed the b side.
"",,,,,,,,,,,,,,doors closed 0621. pwb 0614.
"",,,,,,,,,,,,,,scans 0553/0605.
BWI,FLL,1304,N8565Z,3:13 AM,4:21 AM,4:24 AM,162,5:25 AM,5:24 AM,5:27 AM,0,2,,
BWI,STL,546,N8806Q,3:43 AM,4:19 AM,4:21 AM,94,5:25 AM,5:21 AM,5:26 AM,0,1,TR20,L1 boarding door closed 0621 for
"",,,,,,,,,,,,,,"0625 push, FS 0554 LS 0603 PWB"
"",,,,,,,,,,,,,,0619.
BWI,BUF,2883,N7862A,3:09 AM,4:29 AM,4:30 AM,13,5:30 AM,5:30 AM,5:31 AM,0,1,,
BWI,MCO,506,N8693A,3:45 AM,4:37 AM,4:41 AM,171,5:40 AM,5:41 AM,5:45 AM,1,5,TR04,F/S 610AM ..  L/S 632AM ..  PWB
"",,,,,,,,,,,,,,637AM ..  WAITING ON CAPT
"",,,,,,,,,,,,,,GETTING INFO OFF ACARS
BWI,HOU,1791,N445WN,3:30 AM,4:29 AM,4:30 AM,139,5:25 AM,5:30 AM,5:41 AM,5,16,MX02,LOG BOOK ENTRY MADEFS
"",,,,,,,,,,,,,,0600 LS 0617 PWB 0629
BWI,LAX,1672,N8607M,3:48 AM,4:28 AM,4:34 AM,163,5:30 AM,5:34 AM,5:39 AM,4,9,TR09,FS 0601 LS  0623 PWB 0628
"",,,,,,,,,,,,,,DOORS CLOSED 0634. LAST PAX
"",,,,,,,,,,,,,,WITH PETC WERE IN THE AFT
"",,,,,,,,,,,,,,ROW OF THE AIRCRAFT TO SIT
"",,,,,,,,,,,,,,TOGETHER AND THE FA WERE
"",,,,,,,,,,,,,,MOVING THEM AROUND TO
"",,,,,,,,,,,,,,MAKE THEM PUT THE PET
"",,,,,,,,,,,,,,CARRIERS UNDERNEATH THE
"",,,,,,,,,,,,,,SEATS.
CHS,BNA,492,N8542Z,3:43 AM,4:44 AM,4:56 AM,121,5:40 AM,5:56 AM,5:57 AM,16,17,SD01,BAGS BELTS DROPPED OTS
"",,,,,,,,,,,,,,WAITING TO MAKE SURE MOST
"",,,,,,,,,,,,,,OF THE BAGS MADE IT ON FLT
"",,,,,,,,,,,,,,PWB SENT AT 0644 13 MIN
"",,,,,,,,,,,,,,DELAY DUE TO PAX NEEDING
"",,,,,,,,,,,,,,MEDICAL EVALUATION
CHS,BWI,248,N272WN,4:59 AM,5:28 AM,5:29 AM,95,6:20 AM,6:29 AM,6:29 AM,9,9,SD01,BAG BELTS NOT WORKING GOT
"",,,,,,,,,,,,,,OK TO HOLD A/C TO GET AS
"",,,,,,,,,,,,,,MANY BAGS ON UP TO 10 MINS
"",,,,,,,,,,,,,,DELAYFIM 64
CLE,BNA,561,N7747C,3:34 AM,4:22 AM,4:24 AM,139,5:25 AM,5:24 AM,5:27 AM,0,2,,
CMH,TPA,1701,N930WN,2:57 AM,4:03 AM,4:04 AM,143,5:05 AM,5:04 AM,5:07 AM,0,2,,
CMH,MDW,1783,N8767M,4:09 AM,4:49 AM,4:56 AM,86,6:00 AM,5:56 AM,6:11 AM,0,11,TR20,DOORS CLOSED 0656 AC REQD
"",,,,,,,,,,,,,,AIRSTART
CMH,LAS,1276,N8657B,3:20 AM,4:11 AM,4:14 AM,169,5:15 AM,5:14 AM,5:17 AM,0,2,,
